Tous les articles (sauf vulgarisation)
Auteurs;Année;Année de soutenance;Titre;Titre journal;Année;Volume;Issue;Editeur scientifique;Titre ouvrage;Titre du volume;Lieu de publication;Editeur revue;Pages;Titre conférence;Date congrès;Ville;Pays;Patent n°;Date de publication;Type de rapport;N°;Organisme de délivrance;Pages;Date de publication;Directeur de thèse;Université de soutenance;Année de soutenance;Organisme de délivrance;NNT;URL;DOI;Pubmed;Référence locale;ArXiv;Description;Voir aussi;Fait référence à;Réf. HAL;ANR associated funding;EU associated funding;Rang HCERES (Economie-Gestion);Rang HCERES (Toutes disciplines);Rang CNRS;Commentaire;Référence interne
Laroche S.;2018;;Echapper à l’emprise commerciale entre « les boîtes »;Cahiers thématiques;;;17;;;;;;123-134;;;;;;;;;;;;;;;;;http://www.lille.archi.fr/les-cahiers-thematiques__index--1026599.htm;;;;;;;;hal-02474323;;;;;;;
Laroche S.;2018;;Représenter les temporalités : outils et méthodes pour saisir les phénomènes de vacance commerciale;Développement durable et territoires;;9;2;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/developpementdurable/12153#quotation;10.4000/developpementdurable.12153;;;;;;;hal-02474296;;;;;;;
Lescop L.;2018;;Living in a harbour : Nantes (Fr) From Cranes To Elephant;Studia Regionalia;;CLXXXVII;;;;;;;303-313;;;;;;;;;;;;;;;;;;;;;;;;;hal-02148513;;;;;;;
Lescop L.;2018;;Survey and Photogrammetry: Retreiving and Modeling Lost Data;Universum Humanitarium;;1;1;;;;;;12-50;;;;;;;;;;;;;;;;;https://journals.nsu.ru/en/uh/archive/2018/vypusk-1/;;;;;;;;hal-02288691;;;;;;;
L’Her G., Servières M., Siret D.;2018;;La Cartopartie, une nouvelle forme de balade urbaine déployée par les villes;Les Cahiers de la recherche architecturale, urbaine et paysagère;;;3;;;;;;;;;;;;;;;;;;;;;;;;10.4000/craup.1003;;;;;;;hal-02187403;;;;;;;
Manola T., Geisler E., Tribout S., Polack J.-D.;2018;;Quelle place du sonore dans la production urbaine ? Éclairage par les postures et pratiques professionnelles dans le cadre du diagnostic sonore urbain;VertigO : La Revue Électronique en Sciences de l'Environnement;;18;3;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/vertigo/23818;10.4000/vertigo.23818;;;;;;;hal-02948549;;;;;;;
Milovanovic J., Siret D., Moreau G., Miguet F.;2018;;Écosystème de représentations et apprentissage de la conception;SHS Web of Conferences;;47;;;;;;;;;;;;;;;;;;;;;;;;;10.1051/shsconf/20184701003;;;;;;;hal-01916574;;;;;;;
Moreau G., Normand J.-M.;2018;;Voir l'invisible : de la vision par ordinateur aux réalités augmentée et Virtuelle;Revue Française d'Histotechnologie;;30;1;;;;;;21;;;;;;;;;;;;;;;;;;;;;;;;;hal-01826891;;;;;;;
Petit A., Siret D., Simonnot  N.;2018;;Couleurs et paysages : une nouvelle approche de planification de la couleur par les effets chromatiques;VertigO : La Revue Électronique en Sciences de l'Environnement;;18;3;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/vertigo/25106;10.4000/vertigo.25106;;;;;;;halshs-02294890;;;;;;;
Raboudi K., Ben Saci A.;2018;;Conditions of Satisfaction of the Solar Control Box Constraints;Journal of Civil Engineering and Architecture;;12;10;;;;;;685-693;;;;;;;;;;;;;;;;;http://www.davidpublisher.org/index.php/Home/Article/index?id=37844.html;10.17265/1934-7359/2018.10.001;;;;;;;hal-03249060;;;;;;;
Siret D.;2018;;Problématiques environnementales et outils numériques;Culture et recherche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-02188465;;;;;;;
Thibaud J.-P.;2018;;Les puissances d'imprégnation de l'ambiance;Communications;;;102;;;;;;pp. 67-80;;;;;;;;;;;;;;;;;http://www.seuil.com/ouvrage/communications-n-102-exercices-d-ambiance-collectif/9782021395693;;;;;;;;hal-01878786;;;;;;;
Thibaud J.-P.;2018;;Vers une écologie ambiante de l'urbain;Environnement Urbain / Urban Environment;;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01878790;;;;;;;
Tixier N.;2018;;Habiter-Filmer. La Villeneuve de Grenoble;La Furia Umana;;;n° 34;;;;;;http://www.lafuriaumana.it/index.php/67-lfu-34/783-nicolas-tixier-habiter-filmer-la-villeneuve-de-grenoble;;;;;;;;;;;;;;;;;http://www.lafuriaumana.it/;;;;;;;;hal-01817052;;;;;;;
Tixier N.;2018;;Le transect : un opérateur abductif;Recherches sur la philosophie et le langage;;Abduction;34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01518175;;;;;;;
Verhulst A., Normand J.-M.*, Lombart C., Sugimoto M., Moreau G.;2018;;Influence of Being Embodied in an Obese Virtual Body on Shopping Behavior and Products Perception in VR;Frontiers in Robotics and AI;;5;;;;;;;1-20;;;;;;;;;;;;;;;;;;10.3389/frobt.2018.00113;;;;;;;hal-01888990;;;;;;;
Vogiatzis K., Rémy N.;2018;;Changing the Urban Sound Environment in Greece: A Guide Based on Selected Case Studies of Strategic Noise Maps (SNM) and Noise Action Plans (NAP) in Medium and Large Urban Areas;Environments;;5;64;;;;;;1-19 p.;;;;;;;;;;;;;;;;;http://www.mdpi.com/2076-3298/5/6;10.3390/environments5060064;;;;;;;halshs-01807909;;;;;;;
Amphoux P., Le Guern P.;2017;;Le temps des pionniers : Jean-François Augoyard et le Cresson;Politiques de communication;;;Hors série 1;;;;;;31-44;;;;;;;;;;;;;;;;;https://www.cairn.info/revue-politiques-de-communication-2017-3-p-31.htm;;;;;;;;hal-01691035;;;;;;;
Amphoux P., Tixier N.;2017;;Paroles données, paroles rendues. La marche collective comme écriture du projet urbain;Europe. Revue littéraire mensuelle;;;n°1055;;;;;;pp. 196-215;;;;;;;;;;;;;;;;;;;;;;;;;hal-01518176;;;;;;;
Azam M.-H., Morille B., Bernard J., Musy M., Rodriguez F.;2017;;A new urban soil model for SOLENE-microclimat: Review, sensitivity analysis and validation on a car park;Urban Climate;;;;;;;;;;;;;;;;;;;;;;;;;;;10.1016/j.uclim.2017.08.010;;;;;;;hal-01629430;;;;;;;
Balez S.;2017;;Le paysage odorant existe-t-il ? : A propos de Grésillon L., Sentir Paris : bien-être et matérialité des lieux, et de Henshaw V., Urban smellscapes: understanding and designing city smell environments;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;http://journals.openedition.org/ambiances/881;;;;;;;;;;;;;;;;;https://journals.openedition.org/ambiances/;;;;;;;;hal-02461629;;;;;;;
Bernard J., Musy M., Calmet I., Bocher E., Kéravec P.;2017;;Urban heat island temporal and spatial variations: Empirical modeling from geographical and meteorological data;Building and Environment;;125;;;;;;;423-438;;;;;;;;;;;;;;;;;;10.1016/j.buildenv.2017.08.009;;;;;;;hal-01630175;;;;;;;
Breviglieri M., Diaz P., Nardacchione G.;2017;;L’expérience latinoaméricaine de la sociologie pragmatique francophone. Elargissement d’un horizon d’analyse ?;SociologieS;;Dossier thématique: Sociologie des métropoles sud-américaine;;;;;;;;;;;;;;;;;;;;;;;;http://sociologies.revues.org/6174;;;;;;;;hal-01578017;;;;;;;
Breviglieri M.;2017;;Pensar a dignidade sem falar de linguagem da capacidade em agir : Uma discussão crítica sobre o pragmatismo sociológico e a teoria do reconhecimento de Axel Honneth;Terceiro Milénio, Revista Crítica de Sociologia e Política;;6;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01578016;;;;;;;
Kazig R., Masson D., Thomas R.;2017;;Atmospheres and Mobility : an Introduction;Mobile Culture Studies - The Journal;;3;;;;;;;pp. 7-20;;;;;;;;;;;;;;;;;http://unipub.uni-graz.at/mcsj/periodical/titleinfo/2497984;;;;;;;;hal-01882685;;;;;;;
L’Her G., Servières M., Siret D.;2017;;Participate and transform territories: Interactions between inhabitants, techniques and milieux using the notion of « citizen as sensor »;NETCOM : Réseaux, communication et territoires / Networks and Communications Studies;;;31-1/2;;;;;;153-174;;;;;;;;;;;;;;;;;;10.4000/netcom.2668;;;;;;;hal-01712477;;;;;;;
Manola T., Bailly E., Duret H.;2017;;Les ateliers-promenades : des expériences sensibles (paysagères) habitantes aux micro-interventions urbaines;Projets de paysage : revue scientifique sur la conception et l'aménagement de l'espace;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01745133;;;;;;;
Pecqueux A.;2017;;Vers la félicité-en-acte des spectacles culturels : Esquisse d’une soirée hip-hop comme événement;Terrains/Théories;;;7;;;;;;1-16;;;;;;;;;;;;;;;;;http:// journals.openedition.org/teth/1009;10.4000/teth.1009;;;;;;;hal-01672509;;;;;;;
Pichon P., Thibaud J.-P.;2017;;Animer l'espace public ? Une question pluridisciplinaire de recherche;Ambiances. Environnement sensible, architecture et espace urbain;;3;;;;;;;https://journals.openedition.org/ambiances/903;;;;;;;;;;;;;;;;;;;;;;;;;hal-01878779;;;;;;;
Redon E., Lemonsu A., Masson V., Morille B., Musy M.;2017;;Implementation of street trees within the solar radiative exchange parameterization of TEB in SURFEX v8.0;Geoscientific Model Development;;10;1;;;;;;385-411;;;;;;;;;;;;;;;;;;10.5194/gmd-10-385-2017;;;;;;;hal-02368820;;;;;;;
Thibaud J.-P., Santos Roça L.;2017;;As polifonias que tecem a cidade;V!iRUS;;;14;;;;;;http://www.nomads.usp.br/virus/virus14/?sec=2&item=1&lang=pt;;;;;;;;;;;;;;;;;http://www.nomads.usp.br/virus/virus14/#;;;;;;;;halshs-02181903;;;;;;;
Thibaud J.-P.;2017;;Installer une Atmosphère;Phantasia;;5;;;;;;;https://popups.uliege.be/0774-7136/index.php?id=789;;;;;;;;;;;;;;;;;https://popups.uliege.be/0774-7136/index.php?id=558;10.25518/0774-7136.789;;;;;;;hal-01878768;;;;;;;
Thibaud J.-P., Santos Roça L.;2017;;The polyphonies which weave the city;[V!RUS JOURNAL];;;14;;;;;;http://www.nomads.usp.br/virus/virus14/?sec=2&item=1&lang=en;;;;;;;;;;;;;;;;;http://www.nomads.usp.br/virus/virus14/#;;;;;;;https://halshs.archives-ouvertes.fr/halshs-02181903;halshs-02181882;;;;;;;
Thomas R.;2017;;Para una etnografia sensível da experiência urbana ordinária. Retornos sobre os bastidores de alguns trabalhos de campo colaborativos;Cadernos Proarq. Revista de arquitetura e urbanismo do Proarq;;;27;;;;;;16-30;;;;;;;;;;;;;;;;;http://cadernos.proarq.fau.ufrj.br/public/docs/cadernosproarq27.pdf;;;;;;;hal-01533246;hal-01533255;;;;;;;
Thomas R.;2017;;Pour une ethnographie sensible de l’expérience urbaine ordinaire. Retours sur les coulisses de quelques travaux de terrain collaboratifs;Cadernos Proarq. Revista de arquitetura e urbanismo do Proarq;;;27;;;;;;1-15;;;;;;;;;;;;;;;;;http://cadernos.proarq.fau.ufrj.br/public/docs/cadernosproarq27.pdf;;;;;;;hal-01533255;hal-01533246;;;;;;;
Bataille N.;2016;;Les enjeux d’une "approche globale" en aménagement : quand les études cherchent leur place entre expertise, conseil et conception;URBIA. Les Cahiers du développement urbain durable;;Hors-série 3;;;;;;;37-51;;;;;;;;;;;;;;;;;;;;;;;;;hal-01419363;;;;;;;
Bonicco-Donato C.;2016;;Les statuts de la matière architecturée dans la philosophie allemande;Le Philotope;;12;;;;;;;;;;;;;;;;;;;;;;;;https://www.philau.archi.fr/post/162316316900/le-philotope-matierres-lire-en-ligne-le;;;;;;;;hal-02539336;;;;;;;
Bonnet A., Brayer L.;2016;;Mais qu’est-ce donc qu’un laboratoire ?;Lieux Communs - Les Cahiers du LAUA;;;18;;;;;;64-87;;;;;;;;;;;;;;;;;https://aau.archi.fr/crenau/revue-lieux-communs/;;;;;;;;hal-02462142;;;;;;;
Brayer L.;2016;;Les images filmiques et la part insignifiante de l’expérience urbaine;Multitudes;;65;4;;;;;;184-189;;;;;;;;;;;;;;;;;http://www.multitudes.net/les-images-filmiques-et-la-part-insignifiante-de-lexperience-urbaine/;10.3917/mult.065.0184;;;;;;;hal-01629271;;;;;;;
Cassen S., Grimaud V., Lescop L.;2016;;Enregistrement et représentations de la stèle néolithique de L’Ouche de Beauce (Maisse, Essonne);Revue Archéologique du Centre de la France;;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01946755;;;;;;;
Cassen S., Grimaud V., Lescop L., Robinet E., Marcoux N.;2016;;Étude sur un monolithe – la dalle S12 au sol du monument de Gavrinis (Larmor-Baden, Morbihan);Revue Archéologique de l'Ouest;;33;;;;;;;55-76;;;;;;;;;;;;;;;;;;;;;;;;;hal-01952651;;;;;;;
Chelkoff G., Paris M.;2016;;Freins et leviers pour l'installation de jardins en bord de voies : Méthode et critères;Vertigo;;;Hors-série 24;;;;;;;;;;;;;;;;;;;;;;;http://vertigo.revues.org/17411;10.4000/vertigo.17411;;;;;;;halshs-01545545;;;;;;;
Devisme L.;2016;;Un héritage prospectif ? Deux ou trois choses que j'ai apprises de ce laboratoire;Lieux Communs - Les Cahiers du LAUA;;;18;;;;;;29-48;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01711029;;;;;;;
Devisme L., Nicolas A.;2016;;Chercheurs de laboratoire : une réflexivité in itinere;Lieux Communs - Les Cahiers du LAUA;;18;;;;;;;10-21;;;;;;;;;;;;;;;;;;;;;;;;;halshs-01468043;;;;;;;
Drozd C., Requena-Ruiz I., Siret D.*;2016;;Matérialités et immatérialités de la lumière chez soi : expérience sensible et pratiques habitantes;Cahiers thématiques;;;15;;;;;;131‑141;;;;;;;;;;;;;;;;;http://www.editions-msh.fr/livre/?GCOI=27351100495460&fa=sommaire;;;;;;;;hal-01300649;;;;;;;
Fiori S., Thomas R.;2016;;L'immersion par corps des chercheurs. Expérimentations méthodologiques à Salvador da Bahia et Caracas;Corps : Revue interdisciplinaire;;;14;;;;;;229-237;;;;;;;;;;;;;;;;;http://www.cnrseditions.fr/sociologie/7299-corps.html;;;;;;;;hal-01346847;;;;;;;
Gros A., Bozonnet E., Inard C., Musy M.;2016;;Simulation tools to assess microclimate and building energy – A case study on the design of a new district;Energy and Buildings;;114;;;;;;;112-122;;;;;;;;;;;;;;;;;;10.1016/j.enbuild.2015.06.032;;;;;;;hal-01799917;;;;;;;
Kazig R.;2016;;Presentation of Hermann Schmitz’ paper, “Atmospheric Spaces”;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;http://ambiances.revues.org/709;;;;;;;;hal-01519893;;;;;;;
Leduc T.;2016;;Le « vu -pas vu » comme dépassement de « la nécessaire politesse entre savoirs »;Lieux Communs - Les Cahiers du LAUA;;;18;;;;;;225-240;;;;;;;;;;;;;;;;;;;;;;;;;hal-01412287;;;;;;;
Linglart M., Morin S., Paris M., Clergeau P.;2016;;Méthodologie de mise en place d’une Trame verte urbaine : le cas d’une communauté d’agglomération, Plaine Commune;Cybergeo : Revue européenne de géographie / European journal of geography;;;;;;;;;;;;;;;;;;;;;;;;;;http://cybergeo.revues.org/27713;10.4000/cybergeo.27713;;;;;;;hal-01562969;;;;;;;
Malys L., Musy M., Inard C.;2016;;Direct and Indirect Impacts of Vegetation on Building Comfort: A Comparative Study of Lawns, Green Walls and Green Roofs;Energies;;9;1;;;;;;;;;;;;;;;;;;;;;;;;10.3390/en9010032;;;;;;;hal-01583196;;;;;;;
Morille B., Musy M., Malys L.;2016;;Preliminary study of the impact of urban greenery types on energy consumption of building at a district scale: Academic study on a canyon street in Nantes (France) weather conditions;Energy and Buildings;;114;;;;;;;275-282;;;;;;;;;;;;;;;;;;10.1016/j.enbuild.2015.06.030;;;;;;;hal-01583195;;;;;;;
Pecqueux A.;2016;;Un plaidoyer pour Do[ing] The Right Thing;Multitudes;;2016/04;65;;;;;;199-204;;;;;;;;;;;;;;;;;http://www.cairn.info/revue-multitudes-2016-4.htm;;;;;;;;hal-01483443;;;;;;;
Pecqueux A.;2016;;Une image sonnante des urbanités sensibles. Fiction / politique;Multitudes;;2016/04;65;;;;;;181-183;;;;;;;;;;;;;;;;;http://www.cairn.info/revue-multitudes-2016-4.htm;;;;;;;;hal-01483440;;;;;;;
Pousin F., Marco A., Bertaudiere-Montes V., Barthélemy C., Tixier N.;2016;;Le transect, outil de dialogue interdisciplinaire et de médiation. Le cas du projet d’élargissement de la 3e voie ferrée de la vallée de l’Huveaune (France);VertigO : La Revue Électronique en Sciences de l'Environnement;;;;;;;;;;;;;;;;;;;;;;;;;;http://vertigo.revues.org/17372;;;;;;;;hal-01518177;;;;;;;
Regnault C., Romieu P.;2016;;Rafraîchir les Observatoires par le son : Towards an Immersive Concept of the Landscape;Projets de paysage : revue scientifique sur la conception et l'aménagement de l'espace;;;N° 15;;;;;;https://www.projetsdepaysage.fr/rafra_chir_les_observatoires_par_le_son;;;;;;;;;;;;;;;;;http://www.projetsdepaysage.fr/;10.4000/paysage.7362;;;;;;;halshs-01592907;;;;;;;
Requena-Ruiz I.;2016;;Building Artificial Climates. Thermal control and comfort in Modern Architecture (1930-1960);Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;http://ambiances.revues.org/801;;;;;;;;halshs-01418310;;;;;;;
Requena-Ruiz I.;2016;;Thermal comfort in twentieth-century architectural heritage: Two houses of Le Corbusier and André Wogenscky;Frontiers of architectural research;;5;2;;;;;;157-170;;;;;;;;;;;;;;;;;http://dx.doi.org/10.1016/j.foar.2016.02.001;10.1016/j.foar.2016.02.001;;;;;;;halshs-01330999;;;;;;;
Rettman P., Malard F., Legrand N., Avinens O., Eliaou J.-F., Picard C., Dormoy A., Lafarge X., De Matteis M., Kennel A., Loiseau P., Devys A., Boudifa A., Absi L., Quainon F., Theodorou I., Batho A., Masson D., Parissiadis A., Delbos F., Drouet M., Senitzer D., Marry E., Raus N., Yakoub-Agha I., Cesbron A., Retière C., Gagne K.;2016;;Impact of KIR/HLA genetic combinations on double umbilical cord blood transplantation outcomes. Results of a French multicentric retrospective study on behalf of the Société Francophone de Greffe de Moelle et de Thérapie Cellulaire (SFGM-TC) and the Société Francophone d'Histocompatibilité et d'Immunogénétique (SFHI).;Bone Marrow Transplantation;;;;;;;;;;;;;;;;;;;;;;;;;;;10.1038/bmt.2016.151;;;;;;;hal-01331582;;;;;;;
Torgue H.;2016;;Point de vigilance : réflexions libres au terme d'un parcours dans la recherche urbaine;Lieux Communs - Les Cahiers du LAUA;;;18;;;;;;243-262;;;;;;;;;;;;;;;;;;;;;;;;;hal-01505442;;;;;;;
Torres Astaburuaga A., Chaudier É., Tixier N.;2016;;Mémoire du futur, from old roots to new shoots. Patrick Geddes in India (1914-1924);Espaces et sociétés (Paris, France);;;n°167;;;;;;pp. 99-120;;;;;;;;;;;;;;;;;https://www.cairn.info/revue-espaces-et-societes-2016-4-page-99.htm;;;;;;;;hal-01518178;;;;;;;
Vigne M.;2016;;Entre alternatives et modèles : expérimentations institutionnelles, professionnelles et habitantes dans la fabrique des espaces verts ¡ Tour et Taxis (Bruxelles) et l'Union (Roubaix, Tourcoing, Wattrelos).;URBIA. Les Cahiers du développement urbain durable;;;Hors série n°3;;;;;;pp.181-196.;;;;;;;;;;;;;;;;;https://www.unil.ch/index.html;;;;;;;;halshs-02475644;;;;;;;
Amphoux P.;2015;;Pascale Pichon et Fanny Herbert avec Alissone Perdrix (eds.). 2014. Atlas des espaces publics : Saint-Etienne, une ville laboratoire : Publications de l’université de Saint-Etienne, Saint-Etienne, 2014, 296 pages, illustrations comprises;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;http://ambiances.revues.org/536;;;;;;;;hal-01564787;;;;;;;
Barbe F.;2015;;Lecture de Frédéric Barbe : Fabrication et usage des écoquartiers, essai critique sur la généralisation de l'aménagement durable en France de Vincent Renault, Lausanne, Presse polytechniques et universitaires romandes, collection « Espace en société », 2014, 122 p.;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;275-278;;;;;;;;;;;;;;;;;;;;;;;;;hal-02877881;;;;;;;
Bernabé A., Bernard J., Musy M., Andrieu- H., Bocher E., Calmet I., Kéravec P., Rosant J. M.;2015;;Radiative and heat storage properties of the urban fabric derived from analysis of surface forms;Urban Climate;;12;;;;;;;205-218;;;;;;;;;;;;;;;;;http://www.sciencedirect.com/science/journal/22120955;10.1016/j.uclim.2015.04.001;;;;;;;hal-01141712;;;;;;;
Bernabé A., Musy M., Andrieu H., Calmet I.;2015;;Radiative properties of the urban fabric derived from surface form analysis: A simplified solar balance model;Solar Energy;;122;;;;;;;156-168;;;;;;;;;;;;;;;;;;10.1016/jsolener.2015.08.031;;;;;;;hal-01251355;;;;;;;
Bertrand F., Faucher C., Lafaye J.-Y., Moreau G., Servières M., Zaki C.;2015;;Gérer les informations temporelles dans et par les modèles informatiques;Revue Internationale de Géomatique;;25;3;;;;;;415-436;;;;;;;;;;;;;;;;;http://rig.revuesonline.com/;10.3166/RIG.25.415-436;;;;;;;hal-01259330;;;;;;;
Bossé A.;2015;;La résistance du sensible, avenir de l’anthropologie sensorielle;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;URL : http://ambiances.revues.org/682;;;;;;;;hal-01364087;;;;;;;
Bossé A.;2015;;Une chercheur dans un jury de HMONP;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;244-247;;;;;;;;;;;;;;;;;;;;;;;;;hal-01356246;;;;;;;
Breviglieri M.;2015;;L’enfant des villes. Considérations sur la place du jeu et la créativité de l’architecte face à l’émergence de la ville garantie;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;https://ambiances.revues.org/509;10.4000/ambiances.509;;;;;;;hal-01533243;;;;;;;
Cassen S., Lescop L., Grimaud V., Querré G., Suner B.;2015;;In search of a representation of the Gavrinis megalithic tomb (Morbihan, France);Virtual Archaeology Review;;4;8;;;;;;61-63;;;;;;;;;;;;;;;;;;10.4995/var.2013.4319;;;;;;;hal-01617643;;;;;;;
Cassen S., Grimaud V., Lescop L.;2015;;Intuition and analysis in the recording, interpretation and public translation of Neolithic engraved signs in western France;Digital Applications in Archaeology and Cultural Heritage;;2;2-3;;;;;;213-221;;;;;;;;;;;;;;;;;;10.1016/j.daach.2015.02.002;;;;;;;hal-01617172;;;;;;;
Cassen S., Grimaud V., De Jersey P., Lescop L.;2015;;The Recording and Representation of Neolithic Engravings in the Déhus Passage Grave (Vale, Guernsey);Proccedings of the Prehistoric Society;;81;8;;;;;;43-59;;;;;;;;;;;;;;;;;;10.1017/ppr.2015.3;;;;;;;hal-01880375;;;;;;;
Devisme L., Ouvrard P.;2015;;Acteurs intermédiaires de la mobilisation territoriale : les enseignements des démarches de prospective-action;Lien social et Politiques;;;73;;;;;;73-93;;;;;;;;;;;;;;;;;;10.7202/1030952ar;;;;;;;halshs-01711126;;;;;;;
Devisme L.;2015;;Arnaud Théval, "Invisibles 2007-2013. Journal de l’œuvre", Ed Dilecta, Paris, 128 p : Lecture de Laurent Devisme;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;279-280;;;;;;;;;;;;;;;;;;;;;;;;;hal-02877869;;;;;;;
Devisme L.;2015;;Figures urbanistiques en régime prospectif. Pour une critique des pouvoirs de l’évocation;Articulo - Journal of Urban Research;;;Special issue 7;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/articulo/2731;10.4000/articulo.2731;;;;;;;hal-02426686;;;;;;;
Drozd C.;2015;;Au prisme des ambiances : réfléchir aux effets des relations entre maître d’œuvre et maître d’ouvrage;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;hal-01275040;;;;;;;
Gangloff E.;2015;;Le scénographe, une figure émergente de La ville événementielle;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;93-108;;;;;;;;;;;;;;;;;;;;;;;;;hal-02883354;;;;;;;
Haeringer A.-S.;2015;;La mémoire faite trajet.;EspacesTemps.net;;;;;;;;;;;;;;;;;;;;;;;;;;http://www.espacestemps.net/articles/la-memoire-faite-trajet-2/;;;;;;;;hal-01226350;;;;;;;
Halgand M.-P.;2015;;Lectures de Marie-Paule Halgand : « REM », Jean-Louis Violeau, Editions B2, 2014, 106 p. ¡ « REM CLOG », Kyle May, rédacteur en chef, 184 p.;Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;286-287;;;;;;;;;;;;;;;;;;;;;;;;;hal-02877854;;;;;;;
Hussein F., Ghozi R., Jaidane M., Péneau J.-P.;2015;;Détection des situations de danger rencontrées par les piétons presbyacousiques dans l’espace urbain : une approche via les textures audio : Detecting hazardous situations faced by presbycusic pedestrians in cities: an audio-texture approach;Ambiances. Environnement sensible, architecture et espace urbain;;;;;;;;;;;;;;;;;;;;;;;;;;https://journals.openedition.org/ambiances/485;10.4000/ambiances.485;;;;;;;halshs-03204170;;;;;;;
Kazig R., Masson D.;2015;;L’ambiance comme concept de la géographie culturelle francophone : Défis et perspectives;Géographie et cultures;;;93-94;;;;;;215-232;;;;;;;;;;;;;;;;;https://gc.revues.org/3969;10.4000/gc.3969;;;;;;;hal-01519955;;;;;;;
Leduc T., Chauvat G.;2015;;Étude comparée de quatre indicateurs qualifiant le champ visuel d'un piéton en milieu urbain : Partitionnement de l'espace ouvert urbain et représentation de la prévisibilité d'un environnement urbain;Revue Internationale de Géomatique;;25;1;;;;;;75-98;;;;;;;;;;;;;;;;;http://rig.revuesonline.com/article.jsp?articleId=19967;10.3166/rig.25.75-98;;;;;;;hal-01150201;;;;;;;
Leduc T.;2015;;Pour une forme urbaine facteur de bien-être : analyse des bassins de visibilité et objectivation de la perception sensible;Environnement, Risques and Santé;;14;4;;;;;;321-6;;;;;;;;;;;;;;;;;;10.1684/ers.2015.0797;;;;;;;hal-01347164;;;;;;;
Lord S., Ravalet E., Klein O., Thomas R.;2015;;Marche et environnements urbains contrastés. Perspectives internationales et interdisciplinaires;Environnement Urbain / Urban Environment;;9;;;;;;;;;;;;;;;;;;;;;;;;http://eue.revues.org/644;;;;;;;;hal-01241182;;;;;;;
Musy M., Malys L., Inard C.;2015;;Microclimate and building energy consumption: study of different coupling methods;Advances in Building Energy Research;;9;2;;;;;;151-174;;;;;;;;;;;;;;;;;;10.1080/17512549.2015.1043643;;;;;;;hal-01799921;;;;;;;
Musy M., Morille B., Lauzet N.;2015;;SOLENE-microclimate: A Tool to Evaluate Envelopes Efficiency on Energy Consumption at District Scale.;Energy Procedia;;78;;;;;;;1165-1170;;;;;;;;;;;;;;;;;;10.1016/j.egypro.2015.11.088;;;;;;;hal-01799920;;;;;;;
Musy M., Malys L., Morille B., Inard C.;2015;;The use of SOLENE-microclimat model to assess adaptation strategies at the district scale;Urban Climate;;14;;;;;;;213-223;;;;;;;;;;;;;;;;;;10.1016/j.uclim.2015.07.004;;;;;;;hal-01667973;;;;;;;
Pecqueux A., Roueff O.;2015;;Ecouter de la musique ensemble. Ethnographies des écoutes musicales collectives (introduction);Culture et Musées;;;25;;;;;;p. 13-22;;;;;;;;;;;;;;;;;http://journals.openedition.org/culturemusees/442;;;;;;;;halshs-01224237;;;;;;;
Roy E.;2015;;Lecture d'Élise Roy : "Être architecte, les vertus de l'indétermination. de la sociologie d'une profession à la sociologie du travail professionnel" . Olivier Chadoin, Presses universitaires de Limoges, 2013 (2006);Lieux Communs - Les Cahiers du LAUA;;;17;;;;;;281-285;;;;;;;;;;;;;;;;;;;;;;;;;hal-02877817;;;;;;;
Thibaud J.-P.;2015;;The backstage of urban ambiances : when atmospheres pervade everyday experience;Emotion, Space and Society;;;n°15;;;;;;pp. 39-46;;;;;;;;;;;;;;;;;http://www.sciencedirect.com/science/article/pii/S1755458614000371;;;;;;;;hal-01560172;;;;;;;
